id,risk_score,risk
7152,10.625,0
7152,10.625,5
7152,15.625,0
7152,15.625,5
7152,10.625,0
7152,10.625,5
7152,15.625,0
7152,15.625,5
9352,18.125,5
4866,21.25,5
8116,5,5
6780,5,5
4177,9.875,5
4804,7.5,5
7214,5,5
6471,10,5
1369,5,5
3705,15.625,5
3215,5,5
301,5,5
5953,5,5
7152,10.625,0
7152,10.625,5
7152,15.625,0
7152,15.625,5
7152,10.625,0
7152,10.625,5
7152,15.625,0
7152,15.625,5
7902,7.5,5
3422,5,5
3685,5,5
6473,5,5
1498,5,5
9615,5,5
6742,13.75,5
6466,5,5
7157,13.75,5
717,8.75,5
8381,5,5
17632,0,0
3750,5,5
6472,14.375,5
8728,14.125,5
8388,9.625,5
6438,7.5,5
2055,13,5
707,3,3
2732,5,5
8959,10,5
5787,8.75,5
4421,5,5
8725,14.125,5
1975,11.25,5
1362,10,5
1373,12.5,5
7019,5,5
7317,7.5,5
611,5.5,3
4154,10,5
4538,12.75,5
3403,8.75,5
7388,5,5
7198,5,5
9917,5,5
8588,15.375,5
4966,5,5
7987,8.75,5
8760,9.375,5
2536,10,5
847,7,7
5147,13.75,5
4561,11.25,5
9971,5,5
5544,11.875,5
3100,13.75,5
1666,15.625,5
3244,7.5,5
4541,5,5
4219,5,5
3825,5,5
5313,10,5
4477,7.5,5
7234,12.875,5
64513,0,0
7228,11.25,5
6515,18.125,5
3543,5,5
9570,5,5
2061,8.75,5
8531,14.375,5
8773,11.5,5
1374,10,5
2024,11.25,5
5304,5,5
3342,8.75,5
571,9.875,3
8543,8.75,5
5074,5,5
6728,8,5
9271,5,5
8154,5,5
2230,5,5
2622,11.125,5
5895,7.5,5
3286,5,5
3423,5,5
4047,5,5
1095,5,5
1801,11.125,5
6614,10.375,5
2559,7.5,5
2219,5,5
4725,9.375,5
7828,7.5,5
588,4,4
6931,13.125,5
668,11.5,4
3677,8.625,5
5369,13.75,5
5214,5,5
4936,10.625,5
2388,8.75,5
6096,5,5
7801,11.875,5
2938,5,5
7636,23.75,5
1726,19.125,5
8199,7.5,5
4383,5,5
5751,13.125,5
1843,8.75,5
2783,10,5
3651,5,5
4433,9.375,5
5315,11.875,5
5404,5,5
5310,15,5
3972,17.5,5
4839,7.5,5
2815,8.75,5
7611,5,5
9985,5,5
176,3.75,0
4055,11.875,5
4824,7.5,5
3818,7.5,5
830,11,6
2084,7.5,5
80334,0,0
2202,5,5
1917,14.375,5
1140,16.25,5
5846,5,5
5807,11.875,5
5909,5,5
7483,5,5
3806,5,5
8414,13.125,5
9025,11.125,5
3431,10,5
2679,7.5,5
5920,11.25,5
7748,7.5,5
2748,15.625,5
6596,7.5,5
9436,5,5
5114,5,5
70712,0,0
6854,6.125,5
5901,13.25,5
8205,7.5,5
858,4.5,2
5446,8.75,5
3122,5,5
