txn_dt,txn_id,originator_id,beneficiary_id,txn_amount,originator_type,beneficiary_type,rptd_originator_address,rptd_beneficiary_address,rptd_originator_name,rptd_beneficiary_name,originator_bank_country,beneficiary_bank_country
2021-05-18,100004,10000003,10000005,70.60757435220596,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-22,100009,10000007,10000008,95.51511865763597,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-21,100008,10000004,10000009,60.803507464350304,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-17,100003,10000003,10000004,30.388144583541475,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-16,100002,10000002,10000004,73.45955942780691,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-20,100007,10000006,10000007,16.891239996921037,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-15,100001,10000002,10000003,45.366186513288135,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-19,100006,10000005,10000007,58.920669463295404,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-15,100011,10000008,10000010,19.39768302907553,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-19,223254,1223254,2223254,2500,Company,Company,"Canada Square, Canary Wharf, London, United Kingdom","Windsor Park, London, UK",The Bank of New York Mellon Corp.,Bank of America,United Kingdom,United Kingdom
2021-05-18,223255,1223255,2223255,4500,Company,Company,"Canary Wharf, London, UK","Windsor Park, London, UK",BNY Mellon Corp.,Bank of America,UK,UK
2021-05-19,223256,1223256,2223256,2500,Company,Company,"Canada Square, Canary Wharf, London, UK","Windsor Park, London, UK",The Bank of New York Mellon Corp.,Bank of America,United Kingdom,United Kingdom
